"slug","category","brand","product","grade","sheet_size","thickness","known_min_per_sqft","known_max_per_sqft","RATE_PER_SQFT_HERE"
"russian-birch-ply-baltic-birch-plywood-bb-bb","Birch Plywood","Russian Birch Ply","Baltic Birch Plywood","BB/BB","8×4 ft (2440×1220mm)","6mm","96","180",""
"russian-birch-ply-baltic-birch-plywood-bb-bb","Birch Plywood","Russian Birch Ply","Baltic Birch Plywood","BB/BB","8×4 ft (2440×1220mm)","9mm","96","180",""
"russian-birch-ply-baltic-birch-plywood-bb-bb","Birch Plywood","Russian Birch Ply","Baltic Birch Plywood","BB/BB","8×4 ft (2440×1220mm)","12mm","96","180",""
"russian-birch-ply-baltic-birch-plywood-bb-bb","Birch Plywood","Russian Birch Ply","Baltic Birch Plywood","BB/BB","8×4 ft (2440×1220mm)","16mm","96","180",""
"russian-birch-ply-baltic-birch-plywood-bb-bb","Birch Plywood","Russian Birch Ply","Baltic Birch Plywood","BB/BB","8×4 ft (2440×1220mm)","18mm","96","180",""
"propperly-blockboard","Blockboard","EightByFour","Blockboard","","","16mm","78","145",""
"propperly-blockboard","Blockboard","EightByFour","Blockboard","","","18mm","78","145",""
"propperly-blockboard","Blockboard","EightByFour","Blockboard","","","25mm","78","145",""
"century-cenboil-plus-marine-grade-bwp","Boil Boards","Century","Cenboil Plus","BWP","8×4 ft (2440×1220mm)","8mm","","",""
"century-cenboil-plus-marine-grade-bwp","Boil Boards","Century","Cenboil Plus","BWP","8×4 ft (2440×1220mm)","12mm","","",""
"century-cenboil-plus-marine-grade-bwp","Boil Boards","Century","Cenboil Plus","BWP","8×4 ft (2440×1220mm)","16.75mm","","",""
"century-cenboil-plus-marine-grade-bwp","Boil Boards","Century","Cenboil Plus","BWP","8×4 ft (2440×1220mm)","18mm","","",""
"green-panel-boilblack-bwp-hdf-bwp-grade","Boil Boards","Green Panel","BoilBLACK BWP HDF","BWP","8×4 ft (2440×1220mm)","12mm","104","151",""
"green-panel-boilblack-bwp-hdf-bwp-grade","Boil Boards","Green Panel","BoilBLACK BWP HDF","BWP","8×4 ft (2440×1220mm)","18mm","104","151",""
"century-premium-plus-lower-emission-premium-hdf","MDF and HDHMR","Century","Premium Plus (Lower Emission)","Premium HDF","8×4 ft (2440×1220mm)","3mm","15","121",""
"century-premium-plus-lower-emission-premium-hdf","MDF and HDHMR","Century","Premium Plus (Lower Emission)","Premium HDF","8×4 ft (2440×1220mm)","5.5mm","15","121",""
"century-premium-plus-lower-emission-premium-hdf","MDF and HDHMR","Century","Premium Plus (Lower Emission)","Premium HDF","8×4 ft (2440×1220mm)","7.5mm","15","121",""
"century-premium-plus-lower-emission-premium-hdf","MDF and HDHMR","Century","Premium Plus (Lower Emission)","Premium HDF","8×4 ft (2440×1220mm)","8mm","15","121",""
"century-premium-plus-lower-emission-premium-hdf","MDF and HDHMR","Century","Premium Plus (Lower Emission)","Premium HDF","8×4 ft (2440×1220mm)","11mm","15","121",""
"century-premium-plus-lower-emission-premium-hdf","MDF and HDHMR","Century","Premium Plus (Lower Emission)","Premium HDF","8×4 ft (2440×1220mm)","12mm","15","121",""
"century-premium-plus-lower-emission-premium-hdf","MDF and HDHMR","Century","Premium Plus (Lower Emission)","Premium HDF","8×4 ft (2440×1220mm)","16mm","15","121",""
