query,page,position,impressions,clicks
21317 merino,/products/merino-21317-dusk-brown,7.7,44,0
14602 merino,/products/merino-14602-gigan-lowa-walnut,8.4,36,0
22153 merino,/products/merino-22153-saga-green,9.4,36,0
22212 merino,/products/merino-22212-toned-blue,10.0,23,0
14016 merino,/products/merino-14016-malmok-natal-walnut,10.1,21,0
21184 rose chalk,/products/merino-21184-rose-chalk,9.8,20,0
21184 merino,/products/merino-21184-rose-chalk,6.8,16,0
21302 merino,/products/merino-21302-misty-lilac,10.4,16,0
22059: getstat cost,/products/merino-22059-gothic-grey,17.2,16,0
85117 ft,/products/merino-85117-vasantha,7.1,15,0
22153 saga green,/products/merino-22153-saga-green,8.9,15,0
108 absolute white greenlam,/products/greenlam-108-absolute-white,15.9,15,1
27106 merino,/products/merino-27106-charcoal,6.8,14,0
22133 merino,/products/merino-22133-loto-green,8.1,14,0
21303 merino,/products/merino-21303-sea-jade,8.9,14,0
44281 merino,/products/merino-44281-livid-krakato,9.3,14,0
10459 oak blend,/products/merino-10459-oak-blend,6.3,13,0
22153 saga green merino,/products/merino-22153-saga-green,9,13,0
99988 merino,/products/merino-99988-bronze,9.5,13,1
22104 merino,/products/merino-22104-pink-salt,9.8,13,0
3245 lu century laminates,/products/century-laminates-3245-lu-arctic-blue,7.7,12,0
14603 merino,/products/merino-14603-huron-lowa-walnut,8.2,12,0
21103 merino,/products/merino-21103-jolly-green,9.8,12,0
27247 lv stone,/products/merino-27247-stone,5.4,11,0
14013 merino,/products/merino-14013-daco-stad-oak,9.7,11,0
22153 mr+ saga green merino,/products/merino-22153-saga-green,9.7,11,0
21138 merino,/products/merino-21138-macchiato,10.7,11,0
21303 sea jade,/products/merino-21303-sea-jade,4,10,0
4929 lu century laminates,/products/century-laminates-4929-lu-blanco-gold-marble,5.6,10,0
21109 moss grey,/products/merino-21109-moss-grey,6.6,10,0
10459 merino,/products/merino-10459-oak-blend,7.3,10,0
21109 merino,/products/merino-21109-moss-grey,7.5,10,0
40487 pure white marble,/products/merino-40487-pure-white-marble,7.6,10,0
14036 merino,/products/merino-14036-pale-emillia-walnut,7.4,9,0
11103 merino,/products/merino-11103-natural-elm,7.7,9,0
14012 merino,/products/merino-14012-celtic-stad-oak,8.1,9,0
99989 merino,/products/merino-99989-steel,8.7,9,0
5314 sud,/products/greenlam-5314-urbane-banana,8.8,9,0
14037 merino,/products/merino-14037-brown-emilia-walnut,9.2,9,0
22153 mr+ saga green,/products/merino-22153-saga-green,9.7,9,0
14584 merino,/products/merino-14584-dutch-koawood,9.8,9,0
21061 peanut,/products/merino-21061-peanut,10.1,9,0
3238 lu century laminates,/products/century-laminates-3238-lu-silica-grey,10.9,9,0
21317 dusk brown,/products/merino-21317-dusk-brown,6.2,8,0
3852 si century laminates,/products/century-laminates-3852-si-sagrada-marble,8.5,8,0
85106 ft,/products/merino-85106-gajamudra,8.9,8,0
brazilian sand 168 lu,/products/century-laminates-168-lu-brazilian-sand,8.3,7,0
3592 su century laminates,/products/century-laminates-3592-su-bavarian-ash-beige,9,7,0
3238 su century laminates,/products/century-laminates-3238-su-silica-grey,9.1,7,0
14015 merino,/products/merino-14015-derwent-moca-walnut,9.4,7,0
158 lu century laminates,/products/century-laminates-158-lu-taupe,9.4,7,0
22107 merino,/products/merino-22107-british-buff,10,7,0
40023 merino,/products/merino-40023-pure-white-onyx,10.1,7,0
21387 merino,/products/merino-21387-corn,10.6,7,0
3284 lu century laminates,/products/century-laminates-3284-lu-smoke-green,8.3,6,0
21362 merino,/products/merino-21362-steel-blue,8.7,6,0
22109 pearl black,/products/merino-22109-pearl-black,9.2,6,0
14540 persian vertical walnut,/products/merino-14540-persian-vertical-walnut,9.5,6,0
22134 merino,/products/merino-22134-flamingo-pink,9.5,6,0
99988 mt v bronze,/products/merino-99988-bronze,10,6,0
14639 merino,/products/merino-14639-havel-pearwood,10.7,6,0
almond ivory 127 lu,/products/century-laminates-127-lu-almond-ivory,11.8,6,0
85112 merino,/products/merino-85112-alankrit,5.6,5,0
40412 ft,/products/merino-40412-misty-marquina,6,5,0
21941 candy white,/products/merino-21941-candy-white,6.8,5,0
85106 ft gajamudra,/products/merino-85106-gajamudra,7.6,5,0
40023 ft,/products/merino-40023-pure-white-onyx,8.2,5,0
266 ash grey greenlam,/products/greenlam-266-ash-grey,8.6,5,0
109 lu century laminates,/products/century-laminates-109-lu-designer-white,9.6,5,0
14145 merino,/products/merino-14145-vnr,9.6,5,0
40267 merino,/products/merino-40267-golden-campino,10,5,0
14020 merino,/products/merino-14020-merbek-natal-walnut,11,5,0
5523 horizontal santos,/products/greenlam-5523-horizontal-santos,12,5,0
1836 glx 5 sage,/products/virgo-1836-glx-5-sage,1.5,4,1
1971 shg ceramic,/products/virgo-1971-shg-ceramic,2.2,4,0
1937 smt kashmir,/products/virgo-1937-smt-kashmir,4,4,0
6991 smt misty white,/products/virgo-6991-shg-misty-white,4,4,0
21302 misty lilac,/products/merino-21302-misty-lilac,5.2,4,0
21317,/products/merino-21317-dusk-brown,5.5,4,0
6991 smt misty white,/products/virgo-6991-smt-misty-white,6,4,0
22103 merino,/products/merino-22103-verdent-green,7.8,4,0
27107 merino,/products/merino-27107-umber,8,4,0
21135 merino,/products/merino-21135-clay,8.2,4,0
108 lu century laminates,/products/century-laminates-108-lu-off-white,8.5,4,0
22153 mr+,/products/merino-22153-saga-green,9.2,4,0
1409 shg frosty white,/products/virgo-1409-shg-frosty-white,9.5,4,0
168 lu century laminates,/products/century-laminates-168-lu-brazilian-sand,9.5,4,0
21063 english ivy,/products/merino-21063-english-ivy,9.5,4,0
40487 mr+,/products/merino-40487-pure-white-marble,9.8,4,0
22112 adriatic blue,/products/merino-22112-adriatic-blue,10,4,0
10459 merino,/brands/merino,10.2,4,0
22112 mr+ adriatic blue,/products/merino-22112-adriatic-blue,10.2,4,0
40003 merino,/products/merino-40003-eon-shire-marble,10.2,4,0
14686 merino,/products/merino-14686-fondle-samsara-maple,10.5,4,0
10853 merino,/products/merino-10853-savannah-cherry,10.8,4,0
40487 merino,/products/merino-40487-pure-white-marble,10.8,4,0
127 lu century laminate,/products/century-laminates-127-lu-almond-ivory,11.2,4,0
40013 merino,/products/merino-40013-riviea-marble,11.8,4,0
21941 merino,/products/merino-21941-candy-white,19.8,4,0
3163 si century laminates,/products/century-laminates-3163-si-beige-wool,3,3,1
6991 shg,/products/virgo-6991-shg-misty-white,3.7,3,0
98999 silver mirror,/products/merino-98999-silver-mirror,3.7,3,0
16040 merino,/products/merino-16040-natural-scandic-birch,5.7,3,0
22133 loto green,/products/merino-22133-loto-green,6,3,0
22133 loto green,/products/merino-22133-lotto-green,8,3,0
22133 merino,/products/merino-22133-lotto-green,8,3,0
10174 merino,/products/merino-10174-shire-mono-teak,8.3,3,0
